V001;3;4;16;24;25
V002;6;10;8;16;26
V003;18;25;13;29;1
V004;4;22;10;23;29
V005;21;11;30;4;1
V006;6;29;15;28;14
V007;1;9;10;24;30
V008;1;12;16;17;26
V009;23;17;8;15;21
V010;2;4;14;28;29
V011;1;25;13;5;17
V012;14;20;22;11;6
V013;23;15;13;28;10
V014;19;10;26;16;8
V015;2;6;19;21;22
V016;13;15;28;13;27
V017;15;30;24;8;19
V018;4;9;10;20;29
V019;5;9;14;21;22
V020;19;21;6;28;4
V021;18;8;5;24;7
V022;6;22;23;20;1
V023;27;20;5;3;28
V024;4;6;8;24;30
V025;7;24;22;9;23
V026;22;10;7;17;9
V027;18;30;12;19;3
V028;14;12;23;17;25
V029;5;29;28;20;11
V030;15;4;24;30;7
V031;19;19;14;9;7
V032;4;7;9;17;26
V033;4;9;23;16;21
V034;11;23;1;20;5
V035;8;22;18;30;11
V036;6;7;8;28;29
V037;4;6;28;9;27
V038;29;25;24;13;2
V039;6;6;30;30;3
V040;27;21;4;8;12
V041;5;22;27;21;1
V042;9;17;9;21;1
V043;23;15;26;21;5
V044;14;8;28;16;28
V045;13;11;27;3;17
V046;28;22;3;27;6
V047;9;23;29;5;1
V048;8;9;17;2;19
V049;28;13;2;3;30
V050;28;9;21;16;13
V051;5;8;10;19;25
V052;7;19;23;4;26
V053;8;10;18;23;30
V054;1;27;12;23;13
V055;20;7;30;10;2
V056;8;30;6;1;26
V057;23;15;16;17;6
V058;18;15;25;7;11
V059;21;12;1;29;10
V060;24;27;16;5;5
V061;12;23;13;11;9
V062;5;11;13;20;28
V063;21;29;1;15;22
V064;15;23;17;10;9
V065;2;5;16;25;28
V066;1;18;25;8;29
V067;20;29;2;7;1
V068;6;29;5;11;30
V069;22;11;7;21;8
V070;25;6;7;15;21
V071;8;6;25;25;29
V072;26;4;26;19;11
V073;18;10;28;15;12
V074;10;12;17;21;28
V075;27;22;3;1;5
V076;28;17;6;4;27
V077;5;18;8;22;19
V078;11;4;6;22;29
V079;11;3;24;17;22
V080;5;11;28;23;28
V081;12;15;16;26;21
V082;12;8;16;28;30
V083;11;2;17;25;22
V084;4;15;18;22;28
V085;12;14;20;19;25
V086;12;5;27;21;22
V087;11;8;27;22;29
V088;8;14;9;23;22
V089;11;4;5;26;24
V090;3;9;8;23;27
V091;14;2;3;21;17
V092;10;4;2;29;29
V093;6;11;10;21;22
V094;6;3;12;27;20
V095;12;6;13;29;18
V096;12;7;6;23;24
V097;6;15;28;18;23
V098;15;14;24;16;23
V099;7;14;17;22;25
V100;6;15;29;25;21
V101;2;10;17;23;29
V102;12;12;30;24;18
V103;14;3;23;18;19
V104;3;12;16;18;26
V105;14;12;6;25;16
V106;4;15;12;28;27
V107;15;6;6;19;28
V108;7;9;1;23;29
V109;6;13;6;18;25
V110;13;9;10;29;26
V111;10;7;8;20;16
V112;2;4;3;19;25
V113;3;8;5;16;29
V114;13;7;6;30;23
V115;9;12;16;17;29
V116;7;14;30;19;22
V117;2;1;23;22;18
V118;7;10;22;20;26
V119;8;15;24;30;28
V120;8;10;17;30;18
V121;1;4;22;18;17
V122;13;10;18;28;21
V123;12;15;29;26;17
V124;15;7;24;29;27
V125;1;15;2;22;26
V126;8;9;13;21;24
V127;8;7;9;16;30
V128;12;3;4;22;26
V129;13;14;3;23;17
V130;6;7;13;23;19
V131;12;8;10;28;30
V132;9;7;8;20;16
V133;7;6;8;27;30
V134;2;15;1;26;18
V135;5;7;25;20;21
V136;11;14;30;16;30
V137;8;7;21;19;25
V138;10;1;28;24;29
V139;13;4;16;20;17
V140;12;10;29;23;16
V141;7;15;28;25;27
V142;3;14;21;17;23
V143;11;13;25;27;23
V144;3;15;5;21;29
V145;3;2;6;28;30
V146;14;12;1;26;16
V147;9;8;10;29;21
V148;6;8;9;16;29
V149;4;1;2;24;18
V150;7;4;12;21;19
V151;1;7;5;19;24
V152;6;9;14;16;27
V153;8;1;27;26;23
V154;7;4;17;25;23
V155;4;12;30;25;21
V156;15;13;21;22;28
V157;3;10;25;27;26
V158;12;3;23;25;18
V159;3;12;19;29;18
V160;13;4;5;28;25
V161;8;13;14;27;28
V162;3;4;8;30;20
V163;6;2;15;25;20
V164;1;6;12;17;27
V165;14;12;15;26;23
V166;13;4;25;20;29
V167;5;11;30;29;24
V168;5;4;25;16;29
V169;6;9;22;26;25
V170;9;4;27;30;16
V171;9;10;12;24;24
V172;7;10;12;28;25
V173;10;7;4;24;29
V174;3;15;2;28;18
V175;3;15;1;27;29
V176;11;2;8;20;30
V177;3;4;2;17;29
V178;4;5;10;17;18
V179;5;11;7;26;20
V180;5;11;17;20;18
V181;11;15;16;28;20
V182;2;14;20;17;18
V183;15;1;25;16;19
V184;5;10;16;24;25
V185;15;5;26;16;26
V186;11;7;28;19;28
V187;12;6;22;28;17
V188;11;5;10;16;26
V189;7;9;4;29;21
V190;14;1;11;25;27
V191;5;10;6;30;21
V192;10;4;11;16;21
V193;3;12;13;23;24
V194;7;10;14;16;28
V195;10;13;15;21;18
V196;8;15;13;20;22
V197;14;15;24;21;23
V198;9;5;17;26;23
V199;1;5;29;17;27
V200;4;13;16;28;29
V201;3;5;25;27;23
V202;15;5;21;16;30
V203;6;12;20;24;16
V204;10;9;2;20;22
V205;5;12;8;20;21
V206;3;7;15;19;23
V207;9;13;2;20;24
V208;7;10;3;29;16
V209;2;11;3;29;25
V210;7;4;15;25;17
V211;6;10;7;25;21
